Book: D:\Projekte\Java\Exercise_Countwords\src\main\java\files\10020.txt
humour : 2
distribute : 5
kitchen : 2
ankle : 2
prevented : 3
creation : 2
BUT : 230
think : 31
Rue : 2
occurred : 3
replaced : 2
They : 77
torture : 4
thing : 23
Papers : 3
shook : 4
There : 99
dying : 2
paying : 4
shopI : 2
This : 209
haveoften : 2
starts : 2
hetreated : 2
glass : 18
These : 31
memory : 2
Physicians : 2
house : 27
hours : 8
start : 6
fallen : 3
short : 18
PARAGRAPH : 10
imagined : 2
required : 2
UNCLE : 25
enter : 6
flowers : 6
Heis : 2
wretch : 2
NOTICE : 17
Given : 19
bright : 9
unknown : 2
Amsterdam : 5
assure : 2
consult : 3
motionless : 2
Bosch : 2
Kinds : 8
performed : 2
fetch : 2
Held : 12
tell : 18
possession : 3
daresay : 2
shows : 8
shown : 9
goodnight : 3
day : 57
accustomed : 2
Making : 6
created : 3
format : 4
EXCEPT : 11
water : 5
critical : 2
elsewhere : 2
Kings : 9
SOCIETY : 3
tones : 8
hinges : 3
endowed : 2
CLARKS : 3
built : 7
heavily : 3
colleague : 2
third : 2
further : 4
thatone : 2
des : 2
Thus : 10
Albany : 3
wellknown : 3
apparition : 16
going : 21
carefully : 6
scouring : 2
Sea : 4
Here : 45
See : 50
CHARLES : 14
treatment : 5
waited : 2
THE : 2314
grasp : 4
term : 2
business : 16
oxen : 2
possible : 9
right : 16
Giants : 3
stage : 6
under : 33
worksa : 2
did : 62
die : 7
dim : 4
Studleys : 5
She : 300
later : 7
diningroom : 8
midst : 5
forgotten : 4
highway : 2
possibly : 5
parcel : 2
journey : 7
finally : 2
hideous : 2
ASLEEP : 5
Sir : 122
colours : 2
occasion : 5
back : 30
Lady : 38
states : 15
wasnt : 7
company : 3
STOOD : 15
FORM : 19
length : 3
priest : 2
grand : 6
MasonNo : 2
baby : 8
Illustrated : 7
showing : 4
FOUR : 9
RichmondI : 3
attempt : 4
thick : 7
balance : 2
JAMES : 5
lock : 2
dearly : 2
kindness : 5
lying : 2
hewas : 2
made : 42
bythe : 3
statue : 2
being : 38
contents : 3
interval : 2
dog : 7
status : 3
againShe : 2
known : 13
nurse : 2
crime : 2
stand : 12
knows : 6
forward : 4
Andrews : 5
specimens : 6
COW : 2
shone : 3
THAT : 455
use : 24
subject : 4
likea : 2
main : 2
Cavendish : 2
liked : 3
arrangement : 4
lungs : 3
worksA : 2
likes : 3
Army : 4
Arms : 18
Ofcourse : 3
Boz : 3
theQueen : 2
FatWoman : 2
Sauvalliers : 2
Walk : 9
Information : 8
stain : 2
uncommon : 2
smoking : 2
Edinburgh : 2
make : 36
TUB : 3
rapidly : 3
Painting : 8
Reading : 10
due : 4
waking : 2
nuns : 2
cure : 2
trees : 4
bank : 2
drawing : 4
august : 3
flourishes : 2
Lane : 3
Sun : 6
filename : 5
highest : 2
unique : 2
THEM : 64
examine : 6
long : 40
remember : 4
Riviera : 2
ofPhysicians : 2
examined : 4
But : 230
expression : 3
mans : 5
many : 36
stay : 5
extensive : 2
respected : 2
bishop : 6
rapid : 5
numbers : 3
seven : 5
boulevards : 2
bark : 6
wood : 3
bare : 2
surprise : 2
HELMET : 11
wont : 4
bridges : 2
look : 29
Ward : 2
THIS : 209
Tonquin : 3
Secretary : 4
Time : 51
thatit : 2
Whether : 6
admit : 2
common : 3
interest : 9
China : 5
themselves : 4
CAVENDISH : 2
bars : 2
eagerly : 3
Every : 33
step : 5
Facing : 7
loss : 3
lost : 3
bodily : 2
EBook : 14
worn : 2
worm : 4
work : 70
SOLEMN : 2
cattle : 2
Moses : 2
priceless : 2
ifit : 2
word : 15
thathe : 2
love : 16
forehead : 8
foundation : 18
secret : 5
across : 14
Lieutenant : 3
LARGE : 14
rushed : 2
eat : 3
Doctor : 13
gathering : 3
opinion : 3
knowanything : 2
exists : 2
stir : 3
DAY : 57
insult : 2
Illustration : 20
EXPRESS : 3
HORSE : 7
visitors : 3
Can : 63
seems : 11
SENT : 8
seena : 2
Chief : 9
winter : 6
platform : 2
anteroom : 2
HERE : 45
CAMDEN : 2
Points : 2
walking : 6
spend : 2
Since : 8
February : 2
grave : 7
spent : 4
Service : 4
instead : 4
DEN : 6
whispered : 4
BEFORE : 57
hands : 17
egg : 2
year : 14
sufficiently : 4
allowed : 3
staying : 2
awful : 7
THINK : 31
near : 17
silence : 5
AM : 55
AS : 282
AT : 274
chandeliers : 3
stop : 2
Worcester : 2
THUS : 10
LONDON : 12
Where : 31
BE : 181
least : 7
wouldnt : 3
immediately : 10
An : 122
The : 2314
As : 282
At : 274
variations : 2
BY : 307
abouthim : 2
agreed : 2
Be : 181
learn : 3
By : 307
severe : 2
Meanwhile : 2
brandy : 2
DE : 2
notes : 2
evidence : 3
official : 2
DO : 95
spring : 6
leave : 11
cottage : 2
faint : 4
EE : 2
need : 7
often : 21
Do : 95
socalled : 2
RichmondLeaving : 2
Dr : 12
obtaining : 2
kindly : 4
visor : 5
loose : 3
hardly : 5
useful : 3
private : 10
companion : 5
STATE : 23
During : 8
sleeping : 2
lined : 6
end : 19
lines : 2
GO : 44
LADY : 38
Replacement : 5
special : 5
GUTENBERG : 21
royalties : 2
EXPENSE : 2
andthe : 3
START : 6
HE : 534
jokes : 2
slightly : 2
called : 14
Adorned : 10
turns : 2
tried : 5
brave : 5
narrow : 2
He : 534
DOG : 7
IF : 84
II : 5
IM : 4
IN : 825
IS : 450
IT : 404
forth : 7
IV : 2
If : 84
Im : 4
In : 825
Guinea : 2
Is : 450
Gutenberg : 21
It : 404
asked : 26
amiss : 2
ere : 3
share : 3
climbed : 2
thoroughly : 3
USE : 24
sharp : 2
LA : 5
ofthe : 19
handbills : 2
Rather : 13
finest : 2
Notice : 17
etc : 7
La : 5
ME : 174
Try : 4
links : 3
entrance : 7
below : 9
houseHe : 2
intimately : 2
yelp : 2
shall : 25
agreat : 2
brass : 2
MY : 240
driving : 3
companionship : 2
graciously : 2
NO : 185
shame : 2
Mr : 9
trick : 6
My : 240
running : 3
OF : 1385
chose : 2
render : 2
ON : 262
declared : 4
No : 185
OR : 170
complying : 3
forme : 2
KATHLEEN : 3
PG : 3
Of : 1385
Oh : 12
Perhaps : 18
On : 262
summon : 3
Or : 170
CharlesDickens : 2
pounds : 2
remain : 2
voices : 2
countries : 2
Two : 50
eye : 14
himself : 25
wanted : 4
Volume : 3
shawls : 4
WANT : 11
another : 21
enemy : 2
nobly : 2
Royal : 15
Royalty : 4
PAINTED : 3
SO : 122
horror : 14
black : 6
Figure : 7
such : 29
TO : 985
describe : 3
So : 122
countenance : 4
presently : 6
LATE : 12
SirHenrys : 2
Photo : 49
white : 12
sounded : 3
furniture : 13
To : 985
UP : 83
US : 30
Ts : 2
seeming : 2
exclaimed : 3
Years : 30
superb : 2
might : 22
Metaphysics : 2
museum : 4
LASS : 2
Up : 83
next : 28
occupy : 4
WE : 83
button : 2
doubtless : 4
trademark : 8
Stories : 4
news : 2
green : 6
was : 502
Suddenly : 13
war : 3
grew : 3
We : 83
way : 43
grey : 2
summons : 2
window : 8
play : 5
fought : 2
quickly : 9
far : 17
fat : 7
HOUSE : 27
plan : 3
denoting : 2
DWARF : 33
double : 3
comfortably : 3
comfortable : 5
completely : 3
suit : 2
rested : 3
study : 5
EBOOK : 14
fever : 2
youngest : 3
receiving : 2
couldnt : 4
FAVOURITE : 6
Jonathan : 2
web : 6
physician : 4
older : 2
quaint : 6
HANDCUFF : 5
grip : 2
ENTRANCE : 7
wet : 3
Majesties : 6
Gunn : 20
great : 40
happened : 8
proceeded : 2
pleased : 2
behold : 3
sides : 2
Day : 57
wondered : 4
Announcing : 2
fee : 14
WOMAN : 34
matterI : 2
looks : 8
presented : 5
few : 20
strain : 3
sunk : 2
opened : 9
inner : 3
produced : 6
Babette : 33
outside : 5
effect : 5
hung : 7
who : 88
game : 2
POLICEMAN : 2
why : 18
died : 5
beensuddenly : 2
malady : 3
muffled : 2
diet : 2
Frog : 24
electric : 3
From : 185
Den : 6
oclock : 5
matters : 6
various : 3
VII : 4
attention : 9
visit : 13
denied : 3
extent : 2
greeting : 2
fond : 7
fit : 6
fromthe : 2
honest : 3
trembled : 2
addition : 5
sure : 6
excited : 3
am : 55
an : 122
former : 5
blowing : 2
as : 282
at : 274
haunted : 3
au : 2
looking : 20
DREAD : 2
hurt : 3
be : 181
prove : 3
leftthe : 3
admire : 3
tracings : 2
fool : 3
sudden : 2
by : 307
Defect : 2
panel : 2
Did : 62
foot : 2
charge : 7
Poor : 18
keeping : 7
familiar : 2
food : 2
fly : 2
Distributed : 5
interview : 5
freely : 2
de : 2
Kuijer : 2
fora : 2
language : 4
do : 95
observe : 4
rare : 6
which : 148
Stoop : 2
downstairs : 3
profound : 4
never : 46
marble : 13
piece : 4
END : 19
stared : 2
CAPTAIN : 4
limbs : 2
tears : 5
for : 285
watching : 4
ft : 5
perhaps : 18
rate : 3
prophecy : 2
contrary : 3
covers : 3
go : 44
Honour : 6
form : 19
he : 534
Professor : 2
flourish : 9
appeared : 7
Thesound : 2
else : 2
four : 9
Censors : 3
Lucilla : 3
easily : 2
if : 84
likely : 3
in : 825
is : 450
it : 404
lively : 2
gave : 21
myforehead : 2
brittle : 3
become : 3
MEMy : 2
Brothers : 4
footman : 2
RIGHT : 16
ability : 2
belief : 2
FETCH : 2
James : 5
Use : 24
knew : 26
places : 3
Temple : 3
la : 5
wooden : 4
househe : 2
hehad : 6
placid : 3
while : 19
QUEENS : 6
second : 4
that : 455
faster : 2
picked : 4
than : 52
me : 174
locked : 7
communication : 2
cabinets : 2
author : 2
possessed : 2
feeling : 6
City : 7
my : 240
Pickwick : 2
license : 12
dream : 2
suggestive : 2
noble : 3
Except : 11
no : 185
student : 2
careful : 3
kissed : 2
head : 25
Gardiner : 3
of : 1385
himthat : 2
oh : 12
occupied : 2
hear : 12
on : 262
or : 170
GRAVE : 7
cousin : 2
intelligent : 3
sitting : 2
Archive : 11
readily : 2
nation : 2
splendid : 3
registered : 2
extremely : 5
clever : 2
hundreds : 7
January : 6
they : 77
inevitable : 2
them : 64
then : 73
seat : 3
London : 12
Eastern : 2
obtained : 4
discovered : 4
seek : 2
seen : 21
seem : 10
so : 122
email : 3
necessary : 5
started : 5
neighbours : 3
UNDER : 33
themup : 2
Section : 2
th : 4
closed : 8
flowed : 2
Literary : 10
to : 985
ts : 2
separate : 4
NURSE : 2
up : 83
us : 30
PROJECT : 66
usual : 6
this : 209
Please : 6
thin : 5
remarkable : 4
purchased : 2
know : 45
frosty : 2
changed : 2
WAS : 502
we : 83
includedwith : 2
summoned : 2
examination : 3
heis : 2
etext : 6
gay : 4
slight : 2
previous : 3
securing : 2
reading : 10
Foundationand : 2
JUDGMENT : 2
HORROR : 14
deeper : 2
held : 12
DISAPPEARED : 4
beyond : 3
FAMILIAR : 2
BREACH : 2
terms : 20
musicalbox : 2
exact : 4
force : 9
Show : 11
surrounded : 3
theroom : 4
south : 2
sedentary : 2
get : 25
andthat : 3
continues : 3
course : 19
power : 8
precious : 5
sell : 2
continued : 7
suspect : 3
brain : 6
abide : 2
help : 15
massive : 4
amedical : 2
ended : 2
located : 3
DEATHIllustration : 2
dress : 5
addresses : 2
obliged : 2
sound : 6
treasures : 4
indignation : 2
criminal : 3
curious : 9
WHY : 18
sent : 8
expenses : 3
here : 45
regret : 3
hers : 2
meAt : 3
station : 6
thesame : 2
feeble : 3
handgestures : 2
costs : 2
medals : 2
Egg : 2
follow : 4
thepedlar : 3
Shut : 6
intend : 2
numerous : 7
England : 3
Tribunal : 2
Therefore : 4
without : 20
Thing : 23
whatsoever : 2
audience : 6
thus : 10
Things : 8
possess : 2
volunteers : 5
much : 58
unhooked : 2
masters : 2
FLY : 2
FOUNDATION : 18
Contributions : 2
wellkept : 2
lights : 4
resolved : 2
BELLE : 2
suite : 2
illustration : 20
returned : 7
Combined : 3
CORNER : 5
reports : 2
Gutenbergtm : 34
meHe : 3
reader : 5
carving : 2
got : 22
avery : 2
liveries : 2
Underneath : 6
FOR : 285
success : 3
State : 23
authority : 2
End : 19
formats : 3
young : 11
Naturally : 4
Unfortunately : 3
People : 20
portrait : 10
meIn : 3
lady : 38
magazine : 7
pocket : 7
named : 3
considered : 4
John : 2
Commerce : 3
entire : 3
approach : 2
STUDY : 5
flashed : 3
write : 7
Everyone : 6
understand : 8
Square : 2
theDwarf : 5
unhappy : 3
shadowy : 4
strongly : 2
appearing : 2
Styles : 2
queer : 3
wait : 3
hundred : 9
American : 5
magnificent : 3
Side : 26
meMy : 2
costly : 6
hitherto : 3
tempted : 3
Judgment : 2
handkerchief : 2
consequence : 4
laid : 4
particularly : 7
raven : 2
didnot : 3
garments : 2
curiously : 2
tonight : 5
STATUE : 2
almost : 26
supernatural : 2
earlier : 2
whether : 6
headstrong : 2
Charles : 14
However : 23
Public : 15
army : 4
READ : 13
Eve : 2
arms : 18
Library : 9
Dresden : 2
replied : 20
busy : 2
lane : 3
imposing : 2
performing : 2
lamp : 3
bareheaded : 2
somevery : 2
conduct : 4
crowns : 3
wall : 8
walk : 9
quietly : 5
events : 4
want : 11
induce : 2
must : 57
circle : 3
Watts : 4
Should : 39
found : 27
BROUGHT : 12
Regent : 2
RAIllustration : 2
GREAT : 40
intimate : 2
entirely : 7
ghosts : 5
miniature : 3
contrived : 2
GutenbergLiterary : 2
till : 9
Once : 37
had : 228
secure : 2
late : 12
Sauvallier : 11
things : 8
immense : 6
hat : 4
has : 83
last : 33
facsimile : 6
weighs : 2
lass : 2
cheerful : 5
warn : 2
warm : 6
GAY : 4
toads : 3
impossible : 8
War : 3
effort : 5
yesterday : 3
tearoom : 2
ends : 3
steady : 2
early : 10
thesmallest : 2
theprevious : 2
disease : 4
yes : 5
yet : 17
colour : 5
Fat : 7
time : 51
Samsons : 3
youll : 4
happy : 9
her : 355
floral : 2
Women : 9
having : 18
laws : 9
House : 27
palaces : 7
Web : 6
tiny : 3
GET : 25
Dwarf : 33
Reminiscences : 2
KikiTsum : 6
PRESENT : 14
dreamsI : 2
Almost : 26
chain : 2
chair : 11
sword : 5
Few : 20
garden : 3
chap : 2
small : 31
gallant : 2
before : 57
him : 156
peremptory : 2
his : 396
WATCHING : 4
emphasis : 4
beat : 2
bear : 2
grandfather : 3
Hospital : 5
Woman : 34
Who : 88
hostess : 3
bruised : 2
exclamations : 2
Why : 18
thetrademark : 2
square : 2
twice : 2
Apeldoorn : 2
point : 12
babys : 5
sounds : 2
hospital : 5
ceiling : 11
Only : 63
toand : 2
meal : 6
mean : 12
Times : 11
meat : 3
been : 72
Hewould : 4
advance : 2
strict : 2
you : 360
Thepedlar : 3
Personal : 6
opportunity : 4
active : 3
court : 3
DEATHLIKE : 2
LIMITED : 7
organ : 2
mirror : 4
therest : 4
characteristic : 4
interior : 4
how : 42
hisribs : 2
GOT : 22
ANYTHING : 23
advantages : 2
meet : 10
answer : 5
putting : 4
Monday : 2
Authors : 2
sometimes : 8
promise : 2
Hewas : 2
mein : 3
Goliath : 3
listened : 5
BARKIllustration : 2
youNo : 2
For : 285
muttered : 2
carrying : 2
waiting : 4
beginning : 4
Well : 44
Language : 4
outward : 2
notice : 17
Mexican : 2
AUNT : 5
youdont : 2
although : 9
muscular : 2
hum : 2
basket : 3
dropped : 6
Fry : 2
Clarks : 3
action : 3
belt : 3
barks : 2
onaccount : 2
accompanied : 4
reached : 5
DISTRIBUTE : 5
SITTINGROOMFrom : 3
eight : 8
Auguste : 4
illness : 6
could : 72
bent : 4
Peterborough : 2
able : 12
concerned : 2
Were : 87
cough : 3
calculated : 3
guineas : 2
sooner : 2
deathlike : 2
difficult : 8
Harveian : 2
friends : 11
forget : 2
present : 14
curtain : 2
softly : 2
Going : 21
best : 11
movements : 3
genuine : 3
LiliTsee : 4
certainly : 7
pretended : 2
ruby : 3
master : 3
concerning : 2
intensely : 2
lions : 2
Each : 19
originality : 3
United : 9
cover : 2
based : 6
something : 13
intention : 2
religious : 2
fact : 16
pieces : 2
fade : 2
free : 5
Tyrrell : 4
honour : 6
HAD : 228
STREET : 9
actually : 2
face : 33
BALLROOMFrom : 2
showed : 5
afraid : 5
After : 64
MANAGE : 2
HAS : 83
instinct : 2
Full : 23
whenever : 2
awkward : 2
vanilla : 3
themfor : 2
please : 6
finding : 4
Latin : 2
rule : 5
inferior : 2
indeed : 12
thatshe : 2
gorgetpiece : 2
HER : 355
venerable : 2
ASKED : 26
clasping : 2
fair : 2
charitable : 2
enable : 3
overtaken : 2
dresses : 2
profession : 3
dressed : 4
Captain : 4
underneath : 6
doors : 7
fail : 2
DISCLAIMER : 3
beckoned : 3
Society : 3
breakfast : 7
refund : 9
church : 7
Criminal : 3
fall : 7
mysterious : 2
lifeHe : 2
HIM : 156
nice : 3
HIS : 396
appearance : 13
wings : 2
youIt : 2
forgot : 2
first : 37
Prisoners : 7
perfect : 3
clearly : 2
graceful : 4
Dont : 28
Wisdom : 4
Ishall : 2
spite : 10
frog : 24
from : 185
bench : 3
ill : 17
finished : 2
Marble : 13
candelabra : 3
oldfashioned : 3
dignified : 3
fame : 2
replacement : 5
death : 12
advice : 2
according : 3
BELOW : 9
paper : 6
theGiant : 2
ina : 3
concealed : 2
value : 3
fortune : 2
inn : 4
int : 2
AMERICAN : 5
Additional : 3
YOU : 360
Pass : 13
poor : 18
afine : 2
grief : 3
excellent : 4
handwriting : 3
HOW : 42
persons : 3
Part : 27
shortly : 2
firmly : 4
COVER : 2
weeks : 2
hasten : 2
unkind : 2
Paul : 3
untilshe : 2
SMALL : 31
God : 5
close : 3
Belle : 2
fast : 2
itI : 6
restless : 4
Email : 3
itbut : 2
post : 2
youwill : 3
frogs : 6
its : 71
HORRIBLE : 6
article : 7
respect : 5
shelf : 2
retreat : 2
FACSIMILE : 6
smallest : 3
miles : 7
Donations : 14
WELL : 44
White : 12
inwhich : 2
variation : 2
number : 11
property : 2
shorter : 2
nothing : 35
volumes : 2
distributed : 5
Miss : 3
fathers : 4
city : 7
confident : 3
courage : 5
local : 2
yield : 3
filled : 3
eBooks : 11
Indeed : 12
removed : 3
powerful : 2
acquaintance : 3
copied : 2
Theyhad : 2
points : 2
copies : 7
presume : 2
BASKET : 3
Carpathian : 2
read : 13
touch : 2
real : 4
clock : 5
Thesmallest : 2
headlong : 2
today : 3
saying : 13
thefather : 2
looked : 43
minute : 4
application : 2
irresistibly : 2
reason : 4
ship : 2
barking : 2
Thedog : 2
Students : 3
annual : 2
Foundation : 18
gentle : 3
shewas : 3
using : 6
containing : 8
demand : 2
rings : 2
Refund : 9
letter : 17
Joseph : 4
gently : 5
handed : 3
worth : 9
taken : 22
takes : 5
popular : 5
broken : 7
nothingit : 2
Had : 228
fitted : 4
Pretty : 15
Great : 40
Has : 83
tothe : 7
forwards : 2
foundry : 2
Compliance : 5
lifetime : 2
repeated : 3
either : 13
purest : 2
those : 22
Into : 75
lifted : 2
worse : 5
amnot : 2
FULL : 23
difficulty : 4
longer : 10
watched : 5
winding : 4
gladly : 2
colleagues : 2
worst : 2
leaving : 2
shop : 3
distance : 7
Yes : 5
show : 11
description : 7
Yet : 17
situated : 2
cracked : 2
malicious : 2
street : 9
feverish : 2
FreaksMajor : 2
vanished : 2
substance : 2
suddenly : 13
Her : 355
nervous : 5
stranger : 2
doomed : 2
Greek : 2
Green : 6
Prayer : 3
delicate : 3
fancy : 2
belowthe : 2
poured : 2
mantel : 2
carriages : 2
LEADING : 6
upholstered : 2
rely : 2
style : 5
wearily : 2
settle : 3
signatureIllustration : 3
criminals : 2
mischief : 3
chandelier : 3
His : 396
COULD : 72
shut : 6
ILL : 17
Knowledge : 9
DOOR : 33
QUEEN : 12
wrapped : 2
important : 4
DONT : 28
detective : 4
phrase : 3
daily : 4
fervour : 2
eaten : 2
daughter : 2
cloth : 2
largest : 4
limitation : 3
Princess : 2
ofthis : 2
captain : 4
INT : 2
joy : 3
wasnot : 2
America : 2
rest : 12
Inwhich : 2
comply : 7
original : 8
Shame : 2
afternoon : 4
investigation : 2
front : 12
You : 360
Dickens : 19
hangings : 2
offer : 2
afterwards : 8
How : 42
PASS : 13
drive : 5
offered : 3
Disgrace : 2
indicate : 3
contain : 3
words : 23
Hehad : 6
medicine : 3
entered : 14
PAUL : 3
thepeople : 2
somewhat : 6
ITI : 6
rooms : 6
DOWN : 43
nearest : 2
contact : 3
FOUND : 27
REFUND : 9
Essendon : 3
roomI : 4
parts : 2
vigorous : 2
party : 3
however : 23
trembling : 4
signs : 2
aunt : 5
captured : 2
views : 2
ormolu : 6
dinner : 2
theyhad : 2
farmer : 3
rubbing : 2
peasant : 2
Nearly : 13
Which : 148
sick : 2
fatigue : 2
corner : 5
majority : 2
costume : 2
crown : 4
sentence : 3
Majesty : 9
vain : 2
ordinary : 7
drink : 2
itand : 2
roseleaf : 2
thesignature : 3
brought : 12
works : 24
alive : 2
Empire : 5
payments : 3
plate : 4
thinking : 10
world : 5
everything : 6
side : 26
break : 6
South : 2
joke : 2
comfort : 3
hide : 3
century : 3
powers : 4
married : 6
paused : 3
sigh : 3
knees : 3
sign : 5
Nothing : 35
Emperor : 4
high : 9
publication : 2
STUDLEY : 46
different : 10
directly : 5
level : 6
Europe : 2
Terms : 20
restrictions : 2
confide : 2
attached : 5
bunch : 5
Before : 57
interesting : 9
raised : 5
cross : 5
overthe : 2
seethat : 2
editions : 3
JAN : 2
themIllustration : 2
inflict : 2
shehad : 4
nothingIt : 2
vase : 8
himI : 2
Never : 46
metaphysics : 2
lighted : 3
Camden : 2
tothose : 2
remaining : 4
accept : 5
Iam : 3
clasped : 4
INTO : 75
access : 8
curtains : 3
hind : 2
FALLEN : 3
key : 12
surprised : 3
silk : 4
silent : 5
stopped : 3
cloak : 7
tightly : 2
MARCH : 2
fourth : 2
laughing : 3
dislike : 3
available : 2
gleaming : 2
horizontal : 2
unusual : 2
Girl : 14
extreme : 4
degree : 3
especially : 5
once : 37
carpet : 3
sing : 2
Brougham : 2
HOSPITALFrom : 2
Mirror : 4
Drawing : 4
figures : 2
What : 75
throughout : 2
British : 4
mingled : 2
nights : 5
speedily : 2
ones : 2
specially : 5
theother : 2
reach : 3
fringe : 2
Give : 31
dreadful : 2
sight : 5
sighs : 2
teeth : 4
CLARKFrom : 2
between : 11
Frederick : 2
following : 11
weak : 3
announcing : 2
seeing : 7
Dickenss : 7
hewould : 4
place : 30
picturesque : 2
sits : 2
observation : 2
tired : 8
expect : 5
site : 5
When : 110
MEXICAN : 2
Ill : 17
plain : 3
only : 63
should : 39
officers : 4
individual : 4
accepted : 4
person : 11
Concerts : 3
week : 7
meWhat : 3
ready : 6
studies : 2
greatest : 4
unconscious : 3
limited : 7
While : 19
Stuart : 19
resembled : 3
corresponding : 2
handcop : 2
prepare : 4
spoke : 10
Proteus : 2
approved : 2
would : 137
legs : 5
electronically : 2
scanty : 2
backwards : 2
left : 24
object : 6
accessible : 2
example : 5
stirring : 3
quiet : 2
thishyer : 2
address : 4
Nobody : 4
police : 5
throw : 2
thank : 5
murmured : 4
Its : 71
others : 11
making : 6
itBut : 2
Redistributing : 2
supposed : 3
society : 3
arranged : 2
inthe : 11
Skeleton : 2
November : 4
oldworld : 2
realized : 2
well : 44
refractory : 2
porcelain : 3
thatI : 2
loved : 5
poorer : 2
went : 40
LOCKED : 7
considering : 2
bringing : 3
spots : 2
orders : 2
Bishop : 6
Presidency : 2
matter : 9
walls : 8
noise : 6
contented : 2
wept : 2
lover : 2
produce : 2
walks : 3
reminded : 2
whichshe : 2
anecdote : 5
Very : 106
capital : 4
upon : 30
governess : 2
EASTERN : 2
defective : 3
raise : 2
quite : 25
lap : 2
lay : 16
less : 7
adventure : 2
TOOK : 30
condition : 3
were : 87
Death : 12
hastily : 2
Theyare : 2
goodnatured : 2
PhotographIllustration : 5
floor : 11
KCB : 2
distinguished : 2
opening : 2
doctor : 13
Oration : 2
Jan : 2
pillow : 2
spoken : 4
lieutenant : 3
led : 5
leg : 7
appreciative : 2
let : 15
cares : 2
regretted : 2
night : 40
each : 19
KEY : 12
polite : 2
Punishment : 4
Raven : 2
perfectly : 2
sittingroom : 2
does : 17
situation : 4
Nature : 15
prayer : 3
surely : 2
medical : 10
Morning : 20
surmounted : 2
lie : 2
Court : 3
unable : 2
acquired : 2
chest : 2
doubt : 15
nurses : 2
involved : 2
College : 9
fixed : 3
page : 4
nursed : 2
full : 23
away : 27
Wantage : 2
FreaksMAJOR : 2
cared : 3
painful : 2
pain : 4
Happy : 9
Portraits : 6
WHAT : 75
supper : 5
pair : 2
manage : 2
equal : 2
TYRRELL : 4
paid : 10
Come : 45
three : 17
remembered : 5
WHEN : 110
Presently : 6
pale : 4
Cole : 2
roads : 5
GIVE : 31
provide : 7
bids : 2
consultation : 4
Taking : 6
Could : 72
log : 2
lot : 2
low : 4
merely : 7
wealth : 2
means : 11
doll : 2
rusty : 3
centre : 7
Detective : 4
Halifax : 7
fellow : 4
door : 33
quick : 6
husband : 39
experience : 2
merry : 4
Eight : 8
HAAGFrom : 2
disappeared : 4
USED : 25
obtain : 5
Queer : 3
Queen : 12
minutes : 4
sacrifice : 2
particular : 8
done : 12
pause : 3
August : 3
dont : 28
Wild : 8
part : 27
Snap : 4
principal : 2
piles : 2
relief : 11
Will : 113
park : 2
statues : 2
Date : 5
GUTENBERGtm : 34
Microbe : 3
ears : 2
someone : 2
Second : 4
gratitude : 2
Manchester : 2
coffers : 2
